date,AAPL,GOOG,META,JPM,MA,PFE,WMT,SBUX,GE,XOM,T,TLT,GLD,SPY
2018-12-21,35.99174499511719,48.85701370239258,124.57491302490234,79.0307846069336,169.41632080078125,30.965370178222656,26.4688663482666,54.15404891967773,33.437355041503906,51.00690078735352,13.481654167175291,102.36481475830078,118.72000122070312,218.35479736328125
2018-12-24,35.060489654541016,48.69142532348633,123.68759155273438,77.3271484375,168.89405822753906,29.94623374938965,26.07090950012207,53.42189407348633,32.36174392700195,49.05259323120117,13.029252052307127,102.87360382080078,120.0199966430664,212.5852203369141
2018-12-26,37.52950286865234,51.84567642211914,133.77720642089844,80.53301239013672,180.2858428955078,31.15736961364746,27.46529197692871,55.64485931396485,34.55972671508789,51.39626693725586,13.372127532958984,101.7712860107422,119.66000366210938,223.3260955810547
2018-12-27,37.28594207763672,52.06613540649414,134.11619567871094,81.43939208984375,182.47137451171875,31.6447868347168,27.823760986328125,55.7507209777832,33.99853515625,51.62090301513672,13.405461311340332,101.78822326660156,120.56999969482422,225.04063415527344
2018-12-28,37.305057525634766,51.72696685791016,132.80015563964844,81.26313018798828,180.02476501464844,31.72602844238281,27.987796783447266,55.91831970214844,35.12089157104492,51.044342041015625,13.55308723449707,102.64463806152344,121.05999755859376,224.75035095214844
2018-12-31,37.665618896484375,51.65364456176758,130.6964874267578,81.92616271972656,182.4326934814453,32.23558807373047,28.297657012939453,56.80928421020508,35.40149688720703,51.05933380126953,13.591184616088867,103.03470611572266,121.25,226.71890258789065
2019-01-02,37.70859909057617,52.16439056396485,135.272705078125,83.3444595336914,183.48680114746097,31.940195083618164,28.35538101196289,56.738712310791016,37.64624786376953,52.18248748779297,14.067399978637695,103.57742309570312,121.33000183105467,226.9547271728516
2019-01-03,33.95254135131836,50.67854309082031,131.34454345703125,82.15996551513672,175.20892333984375,31.04659843444824,28.20956420898437,54.27755737304688,37.69300842285156,51.38129806518555,14.086453437805176,104.75606536865234,122.43000030517578,221.5389709472656
2019-01-04,35.40195083618164,53.40434646606445,137.53590393066406,85.1888427734375,183.5061187744141,31.75555229187012,28.385757446289062,56.077110290527344,38.48801803588867,53.27571105957031,14.448372840881348,103.5434341430664,121.44000244140624,228.9596099853516
2019-01-07,35.32315826416016,53.28863143920898,137.63558959960938,85.24806213378906,184.91798400878903,31.92541885375977,28.71991920471191,56.077110290527344,40.8730583190918,53.5527458190918,14.710291862487791,103.23820495605467,121.86000061035156,230.7648162841797
