risk_aversion,return,vol,AAPL,GOOG,META,T,JPM,MA,PFE,WMT,SBUX,GE,XOM,TLT,GLD
2.3207944168063883,0.25577948261556743,0.20576327151410112,0.2499999997900733,1.4019753424385668e-07,0.14999986275525684,2.906556193578893e-10,0.1537008382680987,0.19629915685764787,3.8507896680715665e-10,0.24999999824394542,4.955606532543235e-10,2.987057110817351e-10,6.231284795859309e-10,4.3172131575575134e-10,1.3625928793120216e-09
3.4064603452898052,0.24864112572339753,0.19433680290015562,0.24999999997893232,0.007374530063850712,0.10560573271663634,3.753554092447944e-11,0.18431796311116225,0.16568203665265388,5.889373128487716e-11,0.2499999998937707,8.064446884434054e-11,3.0202276798773045e-11,1.2594103954950435e-10,5.796036714283379e-11,0.03701973719181631
4.999999999999999,0.22620764121218495,0.16404139305606608,0.24999999992056934,3.976043385712077e-09,0.04399449944543319,2.724653000504099e-11,0.16549359423885027,0.10852161014566034,2.4177923839977598e-11,0.24999999984032056,4.711426454460725e-11,2.4060116929238694e-11,5.7842810277438223e-11,5.1072071919489547e-11,0.18199029220160903
7.338996338110344,0.21565869371197494,0.1519521876600024,0.24999999564686376,8.689739576689011e-08,0.02138382410916255,1.425181819627578e-09,0.16001770746376914,0.06859807686265873,1.1016898054553187e-09,0.24999999805585063,1.929027517196595e-09,9.031602183937406e-10,2.843398360878373e-09,3.049095258484468e-07,0.24999999785231589
10.772173450159409,0.18696765196135126,0.12918545031616444,0.2169211575046466,1.4262849521046828e-09,0.003930772297334892,9.451423347555488e-11,0.14521966301533396,0.02904357587299255,6.893384845465571e-11,0.24999999941391307,1.0293567787329208e-10,6.859243556017139e-11,2.843319888404017e-10,0.10488482998870385,0.24999999986148186
15.811388300841895,0.16020940908720907,0.11192729456979497,0.14791914980859916,6.753640578032921e-09,0.003402170669622474,6.104873909649042e-10,0.14303039961868208,0.02174559722585373,4.117271050860926e-10,0.24071556522181056,4.071087207175549e-10,3.81247319702605e-10,3.091001835446938e-09,0.193187106428163,0.24999999937205594
23.207944168063886,0.1428437335413276,0.10314680584528683,0.10725974581558469,1.0618957464299793e-07,0.0042800106071252475,1.4940408978715797e-08,0.14311494116551618,0.019069270224042346,6.438853162280882e-09,0.21779381438015116,1.6727966549962032e-09,2.0074171080025646e-09,0.008482092850851056,0.24999999483592367,0.24999999887175506
34.064603452898034,0.13238941414448002,0.09956443293583601,0.07819573189823102,0.005510989034211435,0.005804004908093733,0.02006753005297351,0.1257712774104573,0.012440343976024342,0.01985958029207724,0.20755578572487546,1.8251253487269168e-09,2.4250512514122264e-09,0.024794752959168376,0.24999999973260686,0.24999999976110415
49.99999999999999,0.12274382455541166,0.097144267935708,0.05606549878764865,0.01280935287895157,0.005677601288885547,0.039254372428999124,0.11013034661506334,0.005201146725696052,0.043549622084330386,0.19390588804055645,1.2570496681232991e-08,2.6681359213005676e-08,0.033406132659088934,0.24999999964571015,0.24999999959321378
73.38996338110344,0.11616271961458349,0.09599882142042998,0.04098006312111726,0.017783828539255198,0.005583421379428798,0.052308836814434545,0.09942301436655515,0.00025536202793603865,0.059691991401942625,0.18461110975131445,3.0725158769530015e-09,0.00011929945194220128,0.03924307010848733,0.249999999984939,0.24999999998013145
107.72173450159409,0.11143232125733321,0.09543355752383673,0.029469893706696847,0.02045299061122159,0.0049750640310070255,0.06035394610734931,0.08954647747844896,6.350781604872378e-08,0.07049549759236898,0.17822045556528568,0.0008880362052469117,0.0037371942211148917,0.04186038121029067,0.24999999990087138,0.24999999986228175
158.11388300841895,0.10805967049328602,0.09515736725151781,0.021162070091452215,0.021888147158644188,0.004418948865496636,0.06559958157594795,0.08216893757373187,4.183931507209474e-08,0.07768768430400799,0.1734750533245039,0.0040226948270048165,0.006062304373296206,0.04351453635157607,0.24999999987864763,0.24999999983637536
232.07944168063884,0.10576189654172181,0.09502889729295698,0.015501986340826186,0.02286588858406282,0.0040400506092203425,0.06917337336035112,0.07714263195464788,1.0465003767816911e-08,0.08258765194270488,0.17024201642288758,0.006158528617924958,0.00764637045705582,0.044641491345959614,0.24999999995520658,0.24999999994414843
340.64603452898035,0.10419644084379426,0.09496920776484642,0.011645809020217944,0.023532008603728977,0.0037819116871691313,0.07160816668375886,0.07371824090890147,5.631075915316107e-09,0.08592595904800487,0.16803937119215354,0.007613669761368827,0.008725583631532457,0.04540927390151312,0.24999999996777303,0.24999999996280178
500.0,0.10312990832789153,0.09494148958936559,0.009018625849582346,0.02398583004945542,0.003606043747463812,0.07326697182364714,0.07138522963577447,4.039090693276912e-09,0.08820032100452753,0.16653872617902432,0.008605046768760836,0.009460843193217558,0.04593235776971818,0.24999999997153352,0.2499999999682043
